Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
1147359827,MNQU5,07/21/2025 17:59:00 +04:00,07/21/2025 18:00:33 +04:00,23373.000000000,23394.750000000,2.22000,-130.500000000,3,Short,07/21/2025 00:00:00 -05:00,00:01:32.4295700,
1147359829,MNQU5,07/21/2025 18:00:18 +04:00,07/21/2025 18:00:33 +04:00,23389.500000000,23394.750000000,0.74000,-10.500000000,1,Short,07/21/2025 00:00:00 -05:00,00:00:14.3804880,
1147607487,MNQU5,07/21/2025 18:18:45 +04:00,07/21/2025 18:20:25 +04:00,23390.500000000,23402.500000000,2.22000,-72.000000000,3,Short,07/21/2025 00:00:00 -05:00,00:01:39.9746610,
1147607488,MNQU5,07/21/2025 18:18:54 +04:00,07/21/2025 18:20:25 +04:00,23393.250000000,23402.500000000,0.74000,-18.500000000,1,Short,07/21/2025 00:00:00 -05:00,00:01:31.5736530,
1147607489,MNQU5,07/21/2025 18:19:50 +04:00,07/21/2025 18:20:25 +04:00,23392.000000000,23402.500000000,0.74000,-21.000000000,1,Short,07/21/2025 00:00:00 -05:00,00:00:35.5236840,
1152333971,MNQU5,07/22/2025 18:18:06 +04:00,07/22/2025 18:22:30 +04:00,23178.750000000,23172.000000000,0.74000,13.500000000,1,Short,07/22/2025 00:00:00 -05:00,00:04:24.1711450,
1152333972,MNQU5,07/22/2025 18:18:06 +04:00,07/22/2025 18:22:30 +04:00,23178.750000000,23172.000000000,0.74000,13.500000000,1,Short,07/22/2025 00:00:00 -05:00,00:04:24.1709670,
1152333973,MNQU5,07/22/2025 18:18:06 +04:00,07/22/2025 18:22:30 +04:00,23178.500000000,23172.000000000,0.74000,13.000000000,1,Short,07/22/2025 00:00:00 -05:00,00:04:23.4718020,
1152333974,MNQU5,07/22/2025 18:18:13 +04:00,07/22/2025 18:22:30 +04:00,23175.750000000,23172.000000000,0.74000,7.500000000,1,Short,07/22/2025 00:00:00 -05:00,00:04:17.0212410,
1152333975,MNQU5,07/22/2025 18:18:14 +04:00,07/22/2025 18:22:30 +04:00,23178.000000000,23172.000000000,0.74000,12.000000000,1,Short,07/22/2025 00:00:00 -05:00,00:04:15.5673340,
1157293471,MNQU5,07/23/2025 18:50:18 +04:00,07/23/2025 18:50:45 +04:00,23181.000000000,23185.000000000,2.96000,32.000000000,4,Long,07/23/2025 00:00:00 -05:00,00:00:27.0506180,
1157438889,MNQU5,07/23/2025 19:03:01 +04:00,07/23/2025 19:04:04 +04:00,23202.000000000,23185.500000000,3.70000,165.000000000,5,Short,07/23/2025 00:00:00 -05:00,00:01:03.7811140,
1161406378,MNQU5,07/24/2025 17:56:14 +04:00,07/24/2025 18:10:12 +04:00,23362.000000000,23328.000000000,0.74000,68.000000000,1,Short,07/24/2025 00:00:00 -05:00,00:13:58.0909580,
1161399164,MNQU5,07/24/2025 17:56:14 +04:00,07/24/2025 18:10:02 +04:00,23362.000000000,23326.500000000,1.48000,142.000000000,2,Short,07/24/2025 00:00:00 -05:00,00:13:47.6646360,
1166112224,MNQU5,07/25/2025 18:18:07 +04:00,07/25/2025 18:34:33 +04:00,23393.500000000,23418.250000000,0.74000,-49.500000000,1,Short,07/25/2025 00:00:00 -05:00,00:16:26.6182170,
1166112225,MNQU5,07/25/2025 18:19:25 +04:00,07/25/2025 18:34:33 +04:00,23399.750000000,23418.250000000,3.70000,-185.000000000,5,Short,07/25/2025 00:00:00 -05:00,00:15:08.5700770,
1174290091,MNQU5,07/29/2025 18:08:05 +04:00,07/29/2025 18:16:11 +04:00,23569.250000000,23570.000000000,2.22000,4.500000000,3,Long,07/29/2025 00:00:00 -05:00,00:08:06.1556960,
1174236768,MNQU5,07/29/2025 18:08:05 +04:00,07/29/2025 18:11:39 +04:00,23569.250000000,23580.250000000,0.74000,22.000000000,1,Long,07/29/2025 00:00:00 -05:00,00:03:34.5484490,
